year,school_id,cipcode,major_number,total,instnm
2005,166683,30.1501,1,0,Massachusetts Institute of Technology
2005,166683,30.2401,1,27,Massachusetts Institute of Technology
2005,166683,30.2501,1,23,Massachusetts Institute of Technology
2005,166683,38.0101,1,2,Massachusetts Institute of Technology
2005,166683,40.0501,1,29,Massachusetts Institute of Technology
2005,166683,40.0601,1,7,Massachusetts Institute of Technology
2005,166683,40.0801,1,78,Massachusetts Institute of Technology
2005,166683,45.0201,1,1,Massachusetts Institute of Technology
2005,166683,45.0601,1,33,Massachusetts Institute of Technology
2005,166683,45.1001,1,15,Massachusetts Institute of Technology
2005,166683,50.0901,1,3,Massachusetts Institute of Technology
2005,166683,52.0101,1,113,Massachusetts Institute of Technology
2005,166683,54.0101,1,1,Massachusetts Institute of Technology
2005,182670,03.0103,1,26,Dartmouth College
2005,182670,03.0103,2,10,Dartmouth College
2005,182670,05.0103,1,12,Dartmouth College
2005,182670,05.0103,2,4,Dartmouth College
2005,182670,05.0107,1,3,Dartmouth College
2005,182670,05.0126,1,1,Dartmouth College
2005,182670,05.0130,1,9,Dartmouth College
2005,182670,05.0130,2,4,Dartmouth College
2005,182670,05.0201,1,1,Dartmouth College
2005,182670,05.0202,1,7,Dartmouth College
2005,182670,05.0202,2,3,Dartmouth College
2005,182670,05.0207,1,6,Dartmouth College
2005,182670,05.0207,2,2,Dartmouth College
2005,182670,05.9999,1,1,Dartmouth College
2005,182670,11.0701,1,36,Dartmouth College
2005,182670,11.0701,2,2,Dartmouth College
2005,182670,14.0101,1,56,Dartmouth College
2005,182670,14.0101,2,4,Dartmouth College
2005,182670,16.0102,1,9,Dartmouth College
2005,182670,16.0102,2,1,Dartmouth College
2005,182670,16.0104,1,6,Dartmouth College
2005,182670,16.0104,2,1,Dartmouth College
2005,182670,16.0301,1,0,Dartmouth College
2005,182670,16.0301,2,1,Dartmouth College
2005,182670,16.0302,1,7,Dartmouth College
2005,182670,16.0302,2,2,Dartmouth College
2005,182670,16.0399,1,1,Dartmouth College
2005,182670,16.0399,2,1,Dartmouth College
2005,182670,16.0402,1,2,Dartmouth College
2005,182670,16.0402,2,2,Dartmouth College
2005,182670,16.0501,1,3,Dartmouth College
2005,182670,16.0901,1,3,Dartmouth College
2005,182670,16.0901,2,4,Dartmouth College
2005,182670,16.0902,1,0,Dartmouth College
2005,182670,16.0902,2,2,Dartmouth College
2005,182670,16.0905,1,6,Dartmouth College
2005,182670,16.0905,2,4,Dartmouth College
2005,182670,16.0999,1,4,Dartmouth College
2005,182670,16.1101,1,1,Dartmouth College
2005,182670,16.1200,1,6,Dartmouth College
2005,182670,16.1200,2,1,Dartmouth College
2005,182670,23.0101,1,64,Dartmouth College
2005,182670,23.0101,2,9,Dartmouth College
2005,182670,23.0501,1,20,Dartmouth College
2005,182670,23.0501,2,1,Dartmouth College
2005,182670,24.0199,1,2,Dartmouth College
2005,182670,26.0101,1,29,Dartmouth College
2005,182670,26.0101,2,4,Dartmouth College
2005,182670,26.0204,1,15,Dartmouth College
2005,182670,26.0204,2,2,Dartmouth College
2005,182670,26.0401,1,16,Dartmouth College
2005,182670,26.0401,2,3,Dartmouth College
2005,182670,26.1305,1,13,Dartmouth College
2005,182670,26.1305,2,1,Dartmouth College
2005,182670,27.0101,1,20,Dartmouth College
2005,182670,27.0101,2,7,Dartmouth College
2005,182670,30.2202,1,11,Dartmouth College
2005,182670,30.2401,1,3,Dartmouth College
2005,182670,30.2501,1,6,Dartmouth College
2005,182670,30.9999,1,4,Dartmouth College
2005,182670,30.9999,2,7,Dartmouth College
2005,182670,38.0101,1,28,Dartmouth College
2005,182670,38.0101,2,5,Dartmouth College
2005,182670,38.0201,1,17,Dartmouth College
2005,182670,38.0201,2,3,Dartmouth College
2005,182670,40.0201,1,1,Dartmouth College
2005,182670,40.0501,1,17,Dartmouth College
2005,182670,40.0599,1,16,Dartmouth College
2005,182670,40.0601,1,3,Dartmouth College
2005,182670,40.0601,2,1,Dartmouth College
2005,182670,40.0699,1,8,Dartmouth College
2005,182670,40.0801,1,12,Dartmouth College
2005,182670,40.0801,2,2,Dartmouth College
2005,182670,42.0101,1,90,Dartmouth College
2005,182670,42.0101,2,15,Dartmouth College
2005,182670,45.0201,1,27,Dartmouth College
2005,182670,45.0201,2,6,Dartmouth College
2005,182670,45.0601,1,138,Dartmouth College
2005,182670,45.0601,2,24,Dartmouth College
2005,182670,45.0701,1,20,Dartmouth College
2005,182670,45.0701,2,3,Dartmouth College
2005,182670,45.1001,1,108,Dartmouth College
2005,182670,45.1001,2,23,Dartmouth College
2005,182670,45.1101,1,31,Dartmouth College
2005,182670,45.1101,2,4,Dartmouth College
2005,182670,50.0501,1,10,Dartmouth College
2005,182670,50.0601,1,13,Dartmouth College
2005,182670,50.0601,2,3,Dartmouth College
2005,182670,50.0702,1,19,Dartmouth College
2005,182670,50.0702,2,5,Dartmouth College
2005,182670,50.0703,1,25,Dartmouth College
2005,182670,50.0703,2,1,Dartmouth College
2005,182670,50.0901,1,11,Dartmouth College
2005,182670,50.0901,2,3,Dartmouth College
2005,182670,54.0101,1,106,Dartmouth College
2005,182670,54.0101,2,23,Dartmouth College
2005,186131,04.0201,1,13,Princeton University
2005,186131,05.0104,1,13,Princeton University
2005,186131,05.0108,1,7,Princeton University
2005,186131,14.0701,1,19,Princeton University
2005,186131,14.0801,1,16,Princeton University
2005,186131,14.0901,1,37,Princeton University
2005,186131,14.1001,1,32,Princeton University
2005,186131,14.1901,1,31,Princeton University
2005,186131,14.3701,1,55,Princeton University
2005,186131,16.0104,1,19,Princeton University
2005,186131,16.0400,1,3,Princeton University
2005,186131,16.0501,1,4,Princeton University
2005,186131,16.0901,1,10,Princeton University
2005,186131,16.0905,1,6,Princeton University
2005,186131,16.1200,1,12,Princeton University
2005,186131,23.0101,1,67,Princeton University
2005,186131,26.0204,1,64,Princeton University
2005,186131,26.1301,1,47,Princeton University
2005,186131,27.0101,1,15,Princeton University
2005,186131,30.9999,1,0,Princeton University
2005,186131,38.0101,1,19,Princeton University
2005,186131,38.0201,1,19,Princeton University
2005,186131,40.0202,1,4,Princeton University
2005,186131,40.0501,1,29,Princeton University
2005,186131,40.0699,1,9,Princeton University
2005,186131,40.0801,1,20,Princeton University
